node,children_node
Interest2CapitaRatio,
Interest2CapitaRatioDev,
InterestBearingDebt2TotalAssetsDeviation,
InterestBearingLiability2MergedEquity_v2,
InterestBearingLiabilityLrGrowth_v2,
InterestBearingRatioLr,
InterestBearingRatioLrStar,
InterestExpense2InterestBearingDebt,
InterestExpense2InterestBearingDebtLyr,
InterestExpense2NetProfit,
InterestExpense2NetProfitDev,
InterestExpense2NetProfitDeviation,
InterestMultiple_v2,
InterestRateDiff,
InterestRatioAbnoraml,InterestRateDiff
InteretMultiIndustryDeviationLyr,
InventoryAbnormal,InventoryRatioLyr
InventoryAndRevenueGrowthConflict,InventoryOpreateRevenueGrwothDeviationTtm
InventoryOpreateRevenueGrwothDeviationTtm,
InventoryOpreateRevenueGrwothDeviationTtmStar,
InventoryRatioLyr,
InventoryRatioLyrStar,
InventoryTurnoverAndGrossMarginConflict,GrossMarginGrowthLyr
InventoryTurnoverAndGrossMarginConflict,InventoryTurnoverGrowthLyr
InventoryTurnoverGrowthLyr,
InventoryTurnoverGrowthLyrStar,
InventoryTurnoverIndustryDeviationTtm,
InventoryTurnoverIndustryDeviationTtmStar,
InvestmentCashFlowOutCumu5YearLyr,
InvestmentCashFlowOutCumu5YearLyrStar,
IsPoliticalCity,
IsResourceExhaustedCitiy,
IsStateOwned,
kurtosis_1m_21d_mean,
Liability2AssetsIndustryDeviationLr,
Liability2AssetsLr,
Liability2AssetsLrGrowth,
Liability2AssetsLrGrowthStar,
Liability2AssetsLrStar,
Liability2NetAssetsLr,
Liability2NetAssetsLrStar,
LiabilityAdjustDeviationLyr,
machine_scoring_model_v2,AdjustAbnormal
machine_scoring_model_v2,AdvancedPaymentAbnormal
machine_scoring_model_v2,AuditAbnormal
machine_scoring_model_v2,CashAndLoanAbnormal
machine_scoring_model_v2,CashEquivalents2ShortTermInterestBearDebt_v2
machine_scoring_model_v2,DebtAssetRatioWithoutAdvReceipts_v2
machine_scoring_model_v2,DeferredExpenseAbnormalSignal
machine_scoring_model_v2,Expense2RevenueGrowthAbnormal
machine_scoring_model_v2,ExpenseAndRevenueGrowthDeviation
machine_scoring_model_v2,FinanceAndInvestmentAmountConflict_v2
machine_scoring_model_v2,GrossMarginAndSAFRExpenseRatioAbnormal
machine_scoring_model_v2,IFEffect_v2
machine_scoring_model_v2,IncomeTaxAbnormal
machine_scoring_model_v2,InterestBearingLiability2MergedEquity_v2
machine_scoring_model_v2,InterestRatioAbnoraml
machine_scoring_model_v2,InventoryAbnormal
machine_scoring_model_v2,InventoryAndRevenueGrowthConflict
machine_scoring_model_v2,InventoryTurnoverAndGrossMarginConflict
machine_scoring_model_v2,NegaMarketShareGrowth
machine_scoring_model_v2,NegaNetAssetsGrowth
machine_scoring_model_v2,NegeRevenueGrowth
machine_scoring_model_v2,NetOperateCashflow2ARGrowthDeviation_v2
machine_scoring_model_v2,NetOperateCashflowAbnormal
machine_scoring_model_v2,OperateCashIn2RevenuGrwothConflict_v2
machine_scoring_model_v2,OperateProfitAbnormal
machine_scoring_model_v2,ORMergeAndParentDevationAbnormal
machine_scoring_model_v2,OtherARAbnroaml
machine_scoring_model_v2,OtherCurrentAssetsAbnormal
machine_scoring_model_v2,OverAR2CurrentAssetsIndustryDeviation_v2
machine_scoring_model_v2,OverARTurnoverIndustryDeviation
machine_scoring_model_v2,OverAssetsTurnoverIndustryDeviation
machine_scoring_model_v2,OverCashInterestMultipleIndustryDeviation
machine_scoring_model_v2,OverCashRecoveryRateIndustryDeviation
machine_scoring_model_v2,OverFinancingUnderDebtRatioIsHigh_v2
machine_scoring_model_v2,OverFinancingUnderLowROE_v2
machine_scoring_model_v2,OverFinancingUnderRepaymentPressure_v2
machine_scoring_model_v2,OverGoodWill_v2
machine_scoring_model_v2,OverGrossMarginIndustryDeviation
